道本语,正字,释义-toki_ante专用标识

mi,👇,我，我们
sina,👆,你
ona,👈,他，她，他们，它
li,▶️,（置于主语和动词/形容词之间）
pona,👍,好的，简单的，改进，修复
ike,👎,坏的，邪恶的，复杂的，不必要的
suli,🐘,大的，伟大的，重要的，增长
lili,🐁,小的，少的，年轻的，缩小
kili,🍎,水果，蔬菜，蘑菇
soweli,🦔,陆地哺乳动物，动物

ala,❌,没有，不，零
ali,凡,所有，一切，宇宙
ale,🌌,所有，一切，宇宙
utala,⚔️,打架，战斗，挑战
wawa,⚡,强壮的，强大的
suwi,🍬,甜的，可爱的，迷人的
jan,🧑,人，人类
mama,🍼,父母，祖先，创造者，起源
meli,👩,女人，女性，妻子
mije,👨,男人，男性，丈夫
moku,🍜,食物，吃

e,⏩,(置于宾语之前)
ijo,🐚,事物，物体
ilo,🔦,工具，机器，设备
lipu,🍁,书籍，文件，纸张
lukin,👀,眼睛，看，寻找
olin,💌,爱，怜悯，情感
pali,🏗️,做，工作，制造，劳动
pana,🙌,给予，发送，释放
telo,💧,水，液体，洗涤，清理
tomo,🏠,家，房间，结构

jo,👜,拥有/携带/含有/持有
kala,🐟,鱼，海洋生物
kasi,🌱,植物，草，草药，叶子
pipi,🐛,昆虫，虫子
sitelen,🖼️,符号，图像，书写，绘画
toki,💬,语言，讲话，溝通
waso,🐦,鸟，飞行生物
ma,🏝️,地球，土地，户外，领土
kiwen,💎,坚硬的物体，金属，石头，固体
ko,🍦,粉末，粘土，半固体

ante,🔀,不同的，有变化的，改变
awen,⚓,保持，停留，持久，保护，继续
en,🤝,和（连接主语）
kalama,👏,声音，噪音，发出声音
kulupu,👥,团体，社区，社会
lape,😴,睡眠，休息
mute,👐,许多，更多，数量，很
ni,↗️,这个，那个
pakala,💥,打破，错误，（通用脏话）
seli,🔥,火，热，温暖，化学反应

kepeken,✍️,使用，利用
lon,⏺️,在，于，真实的，存在
sama,⚖️,同样，相似，像，兄弟姐妹
tan,↩️,来自，因为，原因
tawa,🛫,向，为了，移动，从……角度看

sewi,☁️,上方，天空，神圣的
noka,🦵,脚，腿，底部，下方
poka,👯,臀部，侧面，旁边，附近
monsi,🍑,背部，后面，后部，屁股
sinpin,🗿,脸，前面，正面，墙壁

a,🅰️,（表达情感的感叹词）
anu,🤷,或
mu,🐽,（任何动物的叫声）
o,🅾️,（呼唤他人，命令）
seme,❓,什么？（用于提问）

kute,👂,听，听到，服从，耳朵
nimi,📛,字词，名字
lawa,👑,头，控制，拥有，统治，主要
anpa,🧎,低微的，谦卑的，依赖的，征服/打败，屈服
insa,🗳️,里面，内容，中心，胃部

kule,🌈,颜色，多彩的
jelo,🍋,黄色（及其色调）
laso,☘️,蓝色，绿色（及其色调）
loje,👅,红色（及其色调）
pimeja,🎱,黑色，深色
walo,🐑,白色，淺色
nasa,🌀,不寻常的，奇怪的，傻瓜的，醉的
jaki,💩,脏的，恶心的，有毒的
moli,💀,死亡，垂死
unpa,🍆,性交，性行为

pi,📎,"“的”（重组形容词/副词）"""
la,ℹ️,"“如果/当”（引入语境）"""
luka,🖐️,手，臂
linja,🧶,软的条状物，绳子，线，头发
palisa,📏,坚硬的条状物，树枝，棍子
selo,🍌,外层，壳，皮肤，边界
sijelo,🧍,身体，物理状态，躯干
len,🧣,布料，衣服，隐私层
lete,❄️,冷，生的（不成熟的）
musi,🎭,娱乐，艺术，有趣，游戏

kama,🛬,来，未来，事件
ken,💪,可以，能力，可能性
open,🎬,开始，打开
pini,🏁,结束，完成，关闭
sona,🧠,知识，了解（如何）
wile,🙏,想要，需要，渴望

lupa,🚪,洞，门，窗
nasin,🛤️,路径，道路，指示，方法
nena,🗻,山，按钮，凸块，鼻子
tenpo,🕒,时间，时刻

wan,1️⃣,一，（某物的）部分，联合的
tu,⏸️,二，分割，被分割
sike,⭕,圆形，球体，年份
mani,🐮,钱，大型驯养动物
esun,🛒,贸易，市场，商店，交易
mun,🌙,月亮，星星，夜空中的物体
nanpa,#️⃣,数字，（序数指示詞）
poki,📦,盒子，容器，碗，杯子，抽屉
sin,✨,新的，额外的，新鲜的，多余的
suno,☀️,太阳，光，明亮，闪耀

akesi,🦎,“不可爱的”动物（此意思不再受广泛使用），蜥蜴，两栖动物
alasa,🏹,狩猎，采集，寻找，试图（做某事）
kon,💨,空气，本质，精神，短暂的
pan,🍞,面包，谷物，玉米，大米，披萨
pilin,❤️,心，感觉，触摸，感知
pu,🧘,官方 toki pona 书籍，与之互动
supa,🛏️,水平表面
taso,🚦,但是，然而，只有
uta,👄,嘴，嘴唇
weka,🆑,欠缺，离开，移除

namako,🌶️,香料，额外
kin,*️⃣,也，也是
oko,👁️,眼睛
kipisi,✂️,切割，分割
leko,🧱,正方形，方块，（楼梯）
monsuta,👻,恐惧，怪物，可怕的
misikeke,💊,药品，治疗
tonsi,⚧️,非二元性别，性别不确定，（跨性别）
jasima,🪞,镜子，反射，反转，对立
soko,🍄,蘑菇，真菌
meso,😑,平均，中等，中间
epiku,😁,史诗级的，令人敬畏的
kokosila,🐊,在toki pona群组中不使用toki pona进行交流
lanpan,🤳,抓取，偷窃，得到
n,🆖,嗯…，呃…
kijetesantakalu,🦝,浣熊或其他獾科动物
ku,🔬,（与之互动）《Toki Pona辞典》
